Ornek1;Ornek2;Ornek3;Ornek4;Ornek5;Ornek6;Ornek7;Ornek8;Ornek9;Ornek10;Ornek11;Ornek12;Ornek13;Ornek14;Ornek15;Ornek16;Ornek17;Ornek18;Ornek19;Ornek20;Ornek21;Ornek22;Ornek23;Ornek24;Ornek25;Ornek26;Ornek27;Ornek28;Ornek29;Ornek30;Ornek31;Ornek32;Ornek33;Ornek34;Ornek35;Ornek36;Ornek37;Ornek38;Ornek39;Ornek40;Ornek41;Ornek42;Ornek43;Ornek44;Ornek45;Ornek46;Ornek47;Ornek48;Ornek49;Ornek50;Ornek51;Ornek52;Ornek53;Ornek54;Ornek55;Ornek56;Ornek57;Ornek58;Ornek59;Ornek60;Ornek61;Ornek62;Ornek63;Ornek64;Ornek65;Ornek66;Ornek67;Ornek68;Ornek69;Ornek70
35;40;41;39;41;39;38;36;38;36;35;36;34;35;33;34;32;32;33;32;33;32;33;32;35;29;30;31;31;41;39;37;29;33;35;38;48;42;37;36;33;33;43;42;36;43;43;47;42;29;32;30;30;36;34;37;30;45;32;42;41;40;42;42;42;37;36;33;42;36
35;40;41;39;41;39;38;36;38;36;35;36;34;35;33;34;33;32;33;32;33;32;33;32;35;29;30;31;31;41;39;36;29;33;36;38;48;41;37;36;33;33;43;42;35;43;43;47;42;29;31;30;30;36;34;37;31;45;32;42;41;40;43;42;41;37;36;33;42;35
35;40;41;38;41;39;38;36;38;36;35;36;35;35;33;34;33;32;33;32;33;32;33;33;36;29;30;31;31;40;39;36;29;33;36;38;48;42;37;36;33;33;43;42;36;43;43;47;42;29;32;30;30;36;34;37;30;45;32;42;41;40;42;42;42;37;36;33;42;36
35;40;41;39;41;39;38;36;38;36;35;36;35;35;33;34;33;32;33;32;34;32;33;32;36;29;31;31;31;40;39;36;29;33;35;38;48;42;37;36;33;33;44;46;36;43;43;47;43;29;32;30;30;36;33;37;31;45;32;42;41;40;43;46;42;37;36;33;46;36
35;40;41;39;41;39;38;37;38;36;35;36;35;35;33;34;33;32;33;32;34;32;33;32;36;29;30;31;31;40;40;36;29;33;33;38;48;42;38;36;34;33;45;42;36;44;44;48;43;29;32;30;30;36;34;35;31;41;32;42;41;41;43;42;42;38;36;34;42;36
35;40;41;39;41;39;38;36;38;36;35;36;35;35;33;34;32;32;33;32;34;32;33;32;36;29;31;31;31;40;40;36;29;33;33;38;48;42;38;36;34;33;45;41;36;44;44;48;43;29;32;30;30;36;34;35;31;41;32;42;41;41;43;41;42;38;36;34;41;36
35;40;41;39;41;39;39;37;38;36;35;37;35;35;33;34;32;32;33;32;34;32;33;32;36;29;31;31;31;40;40;36;29;33;33;38;47;43;38;36;34;33;46;41;36;44;44;48;44;29;31;30;30;35;34;35;31;41;32;42;41;41;43;41;43;38;36;34;41;36
35;41;41;39;41;39;39;37;38;36;35;37;35;35;34;34;32;32;33;32;34;32;33;32;36;29;31;31;30;40;41;36;29;33;33;37;47;43;38;36;33;33;46;41;36;44;44;48;44;29;32;30;30;36;34;35;31;41;32;43;41;41;43;41;43;38;36;33;41;36
35;41;41;39;42;39;38;37;38;36;35;37;35;35;34;34;33;32;33;32;34;32;33;32;36;29;31;32;30;40;37;36;29;33;33;37;47;43;39;36;34;33;45;41;36;45;45;48;44;29;32;30;30;36;33;35;31;41;32;43;41;41;43;41;43;39;36;34;41;36
36;41;41;39;42;40;39;37;38;36;35;37;35;35;34;34;33;31;33;32;33;32;33;32;36;29;31;32;30;40;37;36;29;33;34;37;47;43;39;36;34;33;45;41;36;45;45;48;44;29;32;31;30;36;34;34;31;41;32;43;43;41;43;41;43;39;36;34;41;36
